Start	End	GC
216001	216200	56
216201	216400	57
216401	216600	51
216601	216800	58
216801	217000	49
217001	217200	57
217201	217400	60
217401	217600	56
217601	217800	63
217801	218000	56
218001	218200	61
218201	218400	62
218401	218600	59
218601	218800	56
218801	219000	60
219001	219200	59
219201	219400	59
219401	219600	57
219601	219800	53
219801	220000	54
220001	220200	61
220201	220400	53
220401	220600	56
220601	220800	59
220801	221000	53
221001	221200	52
221201	221400	61
221401	221600	51
221601	221800	56
221801	222000	67
222001	222200	56
222201	222400	53
222401	222600	58
222601	222800	57
222801	223000	56
223001	223200	60
223201	223400	61
223401	223600	59
223601	223800	53
223801	224000	56
224001	224200	59
224201	224400	57
224401	224600	57
224601	224800	55
224801	225000	56
225001	225200	57
225201	225400	66
225401	225600	57
225601	225800	56
225801	226000	48
226001	226200	53
226201	226400	36
226401	226600	47
226601	226800	53
226801	227000	52
227001	227200	46
227201	227400	47
227401	227600	47
227601	227800	49
227801	228000	64
228001	228200	59
228201	228400	59
228401	228600	60
228601	228800	63
228801	229000	57
229001	229200	56
229201	229400	57
229401	229600	63
229601	229800	59
229801	230000	58
230001	230200	53
230201	230400	55
230401	230600	63
230601	230800	60
230801	231000	56
231001	231200	41
231201	231400	51
231401	231600	45
231601	231800	42
231801	232000	46
232001	232200	57
232201	232400	56
232401	232600	54
232601	232800	57
232801	233000	53
233001	233200	55
233201	233400	55
233401	233600	56
233601	233800	59
233801	234000	58
234001	234200	60
234201	234400	55
234401	234600	59
234601	234800	62
234801	235000	57
235001	235200	59
235201	235400	56
235401	235600	62
235601	235800	58
235801	236000	62
236001	236200	63
236201	236400	59
236401	236600	59
236601	236800	53
236801	237000	52
237001	237200	61
237201	237400	60
237401	237600	53
237601	237800	56
237801	238000	40
238001	238200	43
238201	238400	56
238401	238600	55
238601	238800	57
238801	239000	55
239001	239200	55
239201	239400	59
239401	239600	51
239601	239800	57
239801	240000	57
240001	240200	52
240201	240400	52
240401	240600	53
240601	240800	56
240801	241000	51
241001	241200	50
241201	241400	56
241401	241600	47
241601	241800	56
241801	242000	54
242001	242200	50
242201	242400	55
242401	242600	53
242601	242800	60
242801	243000	62
243001	243200	55
243201	243400	56
243401	243600	57
243601	243800	54
243801	244000	51
244001	244200	51
244201	244400	52
244401	244600	49
244601	244800	46
244801	245000	48
245001	245200	48
245201	245400	49
245401	245600	56
245601	245800	56
245801	246000	51
246001	246200	53
246201	246400	53
246401	246600	52
246601	246800	48
246801	247000	48
247001	247200	47
247201	247400	48
247401	247600	53
247601	247800	53
247801	248000	56
248001	248200	56
248201	248400	58
248401	248600	57
248601	248800	58
248801	249000	53
249001	249200	56
249201	249400	59
249401	249600	54
249601	249800	54
249801	250000	57
250001	250200	56
250201	250400	61
250401	250600	61
250601	250800	53
250801	251000	56
251001	251200	56
251201	251400	54
251401	251600	51
251601	251800	57
251801	252000	57
252001	252200	57
252201	252400	57
252401	252600	61
252601	252800	60
252801	253000	51
253001	253200	51
253201	253400	53
253401	253600	60
253601	253800	61
253801	254000	55
254001	254200	55
254201	254400	57
254401	254600	56
254601	254800	62
254801	255000	59
255001	255200	57
255201	255400	61
255401	255600	57
255601	255800	57
255801	256000	56
256001	256200	57
256201	256400	59
256401	256600	55
256601	256800	57
256801	257000	60
257001	257200	55
257201	257400	58
257401	257600	56
257601	257800	59
257801	258000	57
258001	258200	55
258201	258400	56
258401	258600	55
258601	258800	61
258801	259000	54
259001	259200	48
259201	259400	56
259401	259600	51
259601	259800	54
259801	260000	57
260001	260200	49
260201	260400	47
260401	260600	52
260601	260800	53
260801	261000	53
261001	261200	52
261201	261400	56
261401	261600	48
261601	261800	55
261801	262000	45
262001	262200	47
262201	262400	57
262401	262600	62
262601	262800	60
262801	263000	56
263001	263200	55
263201	263400	52
263401	263600	52
263601	263800	53
263801	264000	51
264001	264200	48
264201	264400	54
264401	264600	56
264601	264800	57
264801	265000	54
265001	265200	54
265201	265400	54
265401	265600	53
265601	265800	49
265801	266000	48
266001	266200	60
266201	266400	49
266401	266600	44
266601	266800	53
266801	267000	57
267001	267200	50
267201	267400	54
267401	267600	51
267601	267800	56
267801	268000	55
268001	268200	60
268201	268400	54
268401	268600	57
268601	268800	60
268801	269000	56
269001	269200	49
269201	269400	55
269401	269600	55
269601	269800	52
269801	270000	56
270001	270200	53
270201	270400	56
270401	270600	53
270601	270800	48
270801	271000	52
271001	271200	45
271201	271400	54
271401	271600	48
271601	271800	47
271801	272000	52
272001	272200	54
272201	272400	56
272401	272600	49
272601	272800	52
272801	273000	46
273001	273200	52
273201	273400	57
273401	273600	51
273601	273800	54
273801	274000	53
274001	274200	53
274201	274400	53
274401	274600	54
274601	274800	54
274801	275000	47
275001	275200	50
275201	275400	57
275401	275600	52
275601	275800	48
275801	276000	54
276001	276200	48
276201	276400	53
276401	276600	62
276601	276800	53
276801	277000	54
277001	277200	54
277201	277400	54
277401	277600	54
277601	277800	50
277801	278000	57
278001	278200	63
278201	278400	57
278401	278600	59
278601	278800	57
278801	279000	68
279001	279200	60
279201	279400	58
279401	279600	50
279601	279800	52
279801	280000	36
280001	280200	45
280201	280400	55
280401	280600	53
280601	280800	49
280801	281000	50
281001	281200	46
281201	281400	51
281401	281600	44
281601	281800	50
281801	282000	56
282001	282200	42
282201	282400	49
282401	282600	55
282601	282800	54
282801	283000	44
283001	283200	54
283201	283400	53
283401	283600	52
283601	283800	55
283801	284000	46
284001	284200	56
284201	284400	57
284401	284600	54
284601	284800	55
284801	285000	57
285001	285200	54
285201	285400	53
285401	285600	50
285601	285800	58
285801	286000	62
286001	286200	56
286201	286400	63
286401	286600	57
286601	286800	58
286801	287000	54
287001	287200	62
287201	287400	56
287401	287600	50
287601	287800	58
287801	288000	54
288001	288200	56
288201	288400	61
288401	288600	54
288601	288800	58
288801	289000	62
289001	289200	51
289201	289400	47
289401	289600	49
289601	289800	54
289801	290000	57
290001	290200	55
290201	290400	48
290401	290600	60
290601	290800	53
290801	291000	53
291001	291200	53
291201	291400	49
291401	291600	50
291601	291800	53
291801	292000	55
292001	292200	56
292201	292400	57
292401	292600	56
292601	292800	54
292801	293000	58
293001	293200	52
293201	293400	51
293401	293600	49
293601	293800	51
293801	294000	53
294001	294200	57
294201	294400	54
294401	294600	55
294601	294800	59
294801	295000	54
295001	295200	60
295201	295400	53
295401	295600	53
295601	295800	55
295801	296000	53
296001	296200	50
296201	296400	56
296401	296600	54
296601	296800	50
296801	297000	50
297001	297200	55
297201	297400	53
297401	297600	50
297601	297800	56
297801	298000	57
298001	298200	60
298201	298400	61
298401	298600	59
298601	298800	58
298801	299000	59
299001	299200	61
299201	299400	60
299401	299600	59
299601	299800	54
299801	300000	56
300001	300200	59
300201	300400	61
300401	300600	57
300601	300800	57
300801	301000	47
301001	301200	55
301201	301400	41
301401	301600	55
301601	301800	44
301801	302000	52
302001	302200	51
302201	302400	61
302401	302600	55
302601	302800	57
302801	303000	57
303001	303200	53
303201	303400	46
303401	303600	49
303601	303800	44
303801	304000	46
304001	304200	40
304201	304400	50
304401	304600	55
304601	304800	44
304801	305000	68
305001	305200	64
305201	305400	56
305401	305600	58
305601	305800	59
305801	306000	60
306001	306200	66
306201	306400	73
306401	306600	67
306601	306800	56
306801	307000	52
307001	307200	54
307201	307400	51
307401	307600	54
307601	307800	54
307801	308000	53
308001	308200	53
308201	308400	53
308401	308600	45
308601	308800	48
308801	309000	46
309001	309200	41
309201	309400	54
309401	309600	60
309601	309800	57
309801	310000	60
310001	310200	57
310201	310400	57
310401	310600	56
310601	310800	59
310801	311000	57
311001	311200	60
311201	311400	53
311401	311600	56
311601	311800	48
311801	312000	52
312001	312200	45
312201	312400	50
312401	312600	58
312601	312800	57
312801	313000	61
313001	313200	57
313201	313400	54
313401	313600	50
313601	313800	56
313801	314000	48
314001	314200	44
314201	314400	47
314401	314600	54
314601	314800	54
314801	315000	50
315001	315200	56
315201	315400	57
315401	315600	59
315601	315800	59
315801	316000	57
316001	316200	57
316201	316400	65
316401	316600	61
316601	316800	60
316801	317000	53
317001	317200	58
317201	317400	56
317401	317600	53
317601	317800	50
317801	318000	55
318001	318200	51
318201	318400	47
318401	318600	52
318601	318800	50
318801	319000	54
319001	319200	51
319201	319400	53
319401	319600	56
319601	319800	52
319801	320000	63
320001	320200	47
320201	320400	55
320401	320600	56
320601	320800	60
320801	321000	53
321001	321200	55
321201	321400	56
321401	321600	60
321601	321800	54
321801	322000	57
322001	322200	56
322201	322400	47
322401	322600	44
322601	322800	45
322801	323000	56
323001	323200	55
323201	323400	59
323401	323600	56
323601	323800	57
323801	324000	60
324001	324200	60
324201	324400	56
324401	324600	56
324601	324800	59
324801	325000	55
325001	325200	53
325201	325400	49
325401	325600	52
325601	325800	54
325801	326000	51
326001	326200	54
326201	326400	56
326401	326600	60
326601	326800	56
326801	327000	56
327001	327200	52
327201	327400	57
327401	327600	46
327601	327800	53
327801	328000	56
328001	328200	55
328201	328400	54
328401	328600	51
328601	328800	53
328801	329000	52
329001	329200	58
329201	329400	53
329401	329600	54
329601	329800	54
329801	330000	52
330001	330200	53
330201	330400	53
330401	330600	55
330601	330800	56
330801	331000	52
331001	331200	54
331201	331400	47
331401	331600	53
331601	331800	48
331801	332000	57
332001	332200	56
332201	332400	56
332401	332600	59
332601	332800	57
332801	333000	51
333001	333200	56
333201	333400	56
333401	333600	56
333601	333800	53
333801	334000	55
334001	334200	53
334201	334400	57
334401	334600	50
334601	334800	52
334801	335000	54
335001	335200	54
335201	335400	54
335401	335600	58
335601	335800	51
335801	336000	50
336001	336200	56
336201	336400	57
336401	336600	50
336601	336800	57
336801	337000	46
337001	337200	51
337201	337400	56
337401	337600	54
337601	337800	58
337801	338000	54
338001	338200	56
338201	338400	56
338401	338600	57
338601	338800	56
338801	339000	57
339001	339200	59
339201	339400	55
339401	339600	54
339601	339800	56
339801	340000	60
340001	340200	50
340201	340400	55
340401	340600	57
340601	340800	54
340801	341000	53
341001	341200	60
341201	341400	57
341401	341600	59
341601	341800	57
341801	342000	56
342001	342200	55
342201	342400	55
342401	342600	56
342601	342800	56
342801	343000	59
343001	343200	50
343201	343400	53
343401	343600	53
343601	343800	61
343801	344000	52
344001	344200	59
344201	344400	56
344401	344600	48
344601	344800	54
344801	345000	45
345001	345200	47
345201	345400	50
345401	345600	51
345601	345800	52
345801	346000	46
346001	346200	51
346201	346400	44
346401	346600	47
346601	346800	55
346801	347000	56
347001	347200	53
347201	347400	55
347401	347600	53
347601	347800	53
347801	348000	55
348001	348200	56
348201	348400	47
348401	348600	58
348601	348800	56
348801	349000	53
349001	349200	55
349201	349400	52
349401	349600	52
349601	349800	53
