KIS_ID,Chromosome,Start_position,End_position,UMAG_ID,Description,Gene_type,Prot_ID,ProteinNames,GeneNames,ProteinLength,Gene_Ontology_biological_process,,,,,,,,,
KIS66865,USMA_521_v2_16,99278,99934,UMAG_10724,putative mitochondrial 54S ribosomal protein,Putative,12234,Putative mitochondrial 54S ribosomal protein,UMAG_10724,150,translation [GO:0006412],,,,,,,,,
KIS66866,USMA_521_v2_16,100486,103247,UMAG_05651,hypothetical protein,Hypothetical,12235,NUC153 domain-containing protein,UMAG_05651,843,maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462],,,,,,,
KIS66867,USMA_521_v2_16,103943,104819,UMAG_05652,putative proteasome core particle subunit alpha 2,Putative,12236,Proteasome subunit alpha type,UMAG_05652,252,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],,,,,,,,,
KIS66868,USMA_521_v2_16,105016,107052,UMAG_05653,hypothetical protein,Hypothetical,12237,Rab-GAP TBC domain-containing protein,UMAG_05653,678,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of GTPase activity [GO:0043547],,,,,,,,,
KIS66869,USMA_521_v2_16,109298,109965,UMAG_05654,putative ras-related GTP-binding protein,Putative,12238,Putative ras-related GTP-binding protein,UMAG_05654,193,small GTPase mediated signal transduction [GO:0007264],,,,,,,,,
KIS66870,USMA_521_v2_16,110276,111007,UMAG_10725,hypothetical protein,Hypothetical,12239,YjeF N-terminal domain-containing protein,UMAG_10725,243,,,,,,,,,,
KIS66871,USMA_521_v2_16,112101,116006,UMAG_05656,hypothetical protein,Hypothetical,12240,Protein kinase domain-containing protein,UMAG_05656,1301,protein kinase A signaling [GO:0010737]; signal transduction [GO:0007165],,,,,,,,,
KIS66872,USMA_521_v2_16,122283,123851,UMAG_05658,hypothetical protein,Hypothetical,12241,JmjC domain-containing protein,UMAG_05658,522,,,,,,,,,,
KIS66873,USMA_521_v2_16,124377,127652,UMAG_05659,hypothetical protein,Hypothetical,12242,DDHD domain-containing protein,UMAG_05659,1091,,,,,,,,,,
KIS66874,USMA_521_v2_16,128566,132084,UMAG_05660,hypothetical protein,Hypothetical,12243,Arrestin_C domain-containing protein,UMAG_05660,1172,division septum assembly [GO:0000917],,,,,,,,,
KIS66875,USMA_521_v2_16,132404,133676,UMAG_10726,hypothetical protein,Hypothetical,12244,HPt domain-containing protein,UMAG_10726,185,phosphorelay signal transduction system [GO:0000160]; phosphorylation [GO:0016310],,,,,,,,,
KIS66876,USMA_521_v2_16,136298,137191,UMAG_05662,putative porin,Putative,12245,Putative porin,UMAG_05662,297,,,,,,,,,,
KIS66877,USMA_521_v2_16,139558,140016,UMAG_05663,hypothetical protein,Hypothetical,12246,mRNA stability protein,UMAG_05663,152,negative regulation of protein dephosphorylation [GO:0035308],,,,,,,,,
KIS66878,USMA_521_v2_16,142104,143813,UMAG_05664,hypothetical protein,Hypothetical,12247,Cytochrome P450,UMAG_05664,569,,,,,,,,,,
KIS66879,USMA_521_v2_16,144718,145875,UMAG_05665,hypothetical protein,Hypothetical,12248,Peptidase_M24 domain-containing protein,UMAG_05665,385,,,,,,,,,,
KIS66880,USMA_521_v2_16,146172,152945,UMAG_10727,hypothetical protein,Hypothetical,12249,Sister chromatid cohesion protein,UMAG_10727,2257,establishment of mitotic sister chromatid cohesion [GO:0034087]; establishment of protein localization to chromatin [GO:0071169]; mitotic cohesin loading [GO:0061780]; regulation of gene expression [GO:0010468]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414],,,,,,,,,
KIS66881,USMA_521_v2_16,153421,154485,UMAG_10728,hypothetical protein,Hypothetical,12250,GATA-type domain-containing protein,UMAG_10728,354,,,,,,,,,,
KIS66882,USMA_521_v2_16,155572,159456,UMAG_10729,hypothetical protein,Hypothetical,12251,MIF4G domain-containing protein,UMAG_10729,1294,,,,,,,,,,
KIS66883,USMA_521_v2_16,159784,165081,UMAG_10730,hypothetical protein,Hypothetical,12252,Related to Ras GTPase-activating-like protein IQGAP2,UMAG_10730,1765,mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of GTPase activity [GO:0043087]; signal transduction [GO:0007165],,,,,,,,,
KIS66884,USMA_521_v2_16,166906,168125,UMAG_10731,hypothetical protein,Hypothetical,12253,Related to PEX19 protein,UMAG_10731,377,protein import into peroxisome membrane [GO:0045046],,,,,,,,,
KIS66885,USMA_521_v2_16,168956,170062,UMAG_10732,hypothetical protein,Hypothetical,12254,GFO_IDH_MocA domain-containing protein,UMAG_10732,368,,,,,,,,,,
KIS66886,USMA_521_v2_16,170250,172331,UMAG_05671,hypothetical protein,Hypothetical,12255,Acetylornithine transaminase,UMAG_05671,693,,,,,,,,,,
KIS66887,USMA_521_v2_16,173171,174883,UMAG_10733,hypothetical protein,Hypothetical,12256,C2H2-type domain-containing protein,UMAG_10733,570,,,,,,,,,,
KIS66888,USMA_521_v2_16,177934,179493,UMAG_10735,putative 2-oxoisovalerate dehydrogenase subunit alpha,Putative,12257,2-oxoisovalerate dehydrogenase subunit alpha (EC 1.2.4.4) (Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain),UMAG_10735,478,branched-chain amino acid catabolic process [GO:0009083],,,,,,,,,
KIS66889,USMA_521_v2_16,179855,180949,UMAG_05674,putative dna/rna non-specific nuclease,Putative,12258,Endonuclease (EC 3.1.30.-),UMAG_05674,364,apoptotic DNA fragmentation [GO:0006309],,,,,,,,,
KIS66890,USMA_521_v2_16,181398,182726,UMAG_05675,hypothetical protein,Hypothetical,12259,Related to PQ loop repeat protein,UMAG_05675,442,phospholipid translocation [GO:0045332]; retrograde transport, endosome to Golgi [GO:0042147],,,,,,,,
KIS66891,USMA_521_v2_16,182950,184524,UMAG_05676,hypothetical protein,Hypothetical,12260,Aminotran_1_2 domain-containing protein,UMAG_05676,524,biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520],,,,,,,,,
KIS66892,USMA_521_v2_16,184971,186218,UMAG_05677,hypothetical protein,Hypothetical,12261,HpcH_HpaI domain-containing protein,UMAG_05677,415,oxaloacetate metabolic process [GO:0006107],,,,,,,,,
KIS66893,USMA_521_v2_16,186694,187564,UMAG_05678,hypothetical protein,Hypothetical,12262,Glutathione S-transferase kappa (EC 2.5.1.18),UMAG_05678,228,glutathione metabolic process [GO:0006749],,,,,,,,,
KIS66894,USMA_521_v2_16,187727,188689,UMAG_05679,hypothetical protein,Hypothetical,12263,Protein-tyrosine phosphatase-like protein,UMAG_05679,320,protein dephosphorylation [GO:0006470],,,,,,,,,
KIS66895,USMA_521_v2_16,189433,191730,UMAG_05680,hypothetical protein,Hypothetical,12264,Peptidase_M23 domain-containing protein,UMAG_05680,765,,,,,,,,,,
KIS66896,USMA_521_v2_16,194162,198508,UMAG_12312,hypothetical protein,Hypothetical,12265,Rho-GAP domain-containing protein,UMAG_12312,1448,small GTPase mediated signal transduction [GO:0007264],,,,,,,,,
KIS66897,USMA_521_v2_16,198643,201813,UMAG_10737,hypothetical protein,Hypothetical,12266,Small-subunit processome, Utp14,UMAG_10737,1056,rRNA processing [GO:0006364],,,,,,,,
KIS66898,USMA_521_v2_16,202532,203074,UMAG_05683,putative 60S ribosome biogenesis protein,Putative,12267,60S ribosome subunit biogenesis protein NIP7,UMAG_05683,180,assembly of large subunit precursor of preribosome [GO:1902626]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]; ribosome assembly [GO:0042255],,,,,,,
KIS66899,USMA_521_v2_16,203808,204740,UMAG_05684,hypothetical protein,Hypothetical,12268,PQ-loop-domain-containing protein,UMAG_05684,310,L-cystine transport [GO:0015811],,,,,,,,,
KIS66900,USMA_521_v2_16,204895,207480,UMAG_10738,hypothetical protein,Hypothetical,12269,U4/U6.U5 tri-snRNP-associated protein snu66,UMAG_10738,861,maturation of 5S rRNA [GO:0000481]; mRNA cis splicing, via spliceosome [GO:0045292],,,,,,,,
KIS66901,USMA_521_v2_16,208540,209343,UMAG_05686,hypothetical protein,Hypothetical,12270,DUF5353 domain-containing protein,UMAG_05686,267,,,,,,,,,,
KIS66902,USMA_521_v2_16,209711,210577,UMAG_05687,putative 20S proteasome subunit alpha 6,Putative,12271,Proteasome subunit alpha type,UMAG_05687,288,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161],,,,,,,,,
KIS66903,USMA_521_v2_16,211192,212472,UMAG_05688,hypothetical protein,Hypothetical,12272,Signal recognition particle receptor subunit beta,UMAG_05688,426,protein targeting to ER [GO:0045047],,,,,,,,,
KIS66904,USMA_521_v2_16,212612,213829,UMAG_05689,hypothetical protein,Hypothetical,12273,Pyr_redox_2 domain-containing protein,UMAG_05689,405,,,,,,,,,,
KIS66905,USMA_521_v2_16,214904,217771,UMAG_05690,hypothetical protein,Hypothetical,12274,DUF3533 domain-containing protein,UMAG_05690,955,,,,,,,,,,
KIS66906,USMA_521_v2_16,221221,221637,UMAG_10739,hypothetical protein,Hypothetical,12275,Uncharacterized protein,UMAG_10739,138,,,,,,,,,,
KIS66907,USMA_521_v2_16,222389,223265,UMAG_05691,hypothetical protein,Hypothetical,12276,Transposase,UMAG_05691,266,,,,,,,,,,
KIS66908,USMA_521_v2_16,223400,227983,UMAG_05692,hypothetical protein,Hypothetical,12277,Protoheme IX farnesyltransferase, mitochondrial (Heme O synthase),UMAG_05692,1527,heme biosynthetic process [GO:0006783],,,,,,,,
KIS66909,USMA_521_v2_16,228874,229757,UMAG_05693,putative rho GDP dissociation inhibitor,Putative,12278,Putative rho GDP dissociation inhibitor,UMAG_05693,202,Rho protein signal transduction [GO:0007266],,,,,,,,,
KIS66910,USMA_521_v2_16,229974,230918,UMAG_05694,hypothetical protein,Hypothetical,12279,BZIP domain-containing protein,UMAG_05694,314,,,,,,,,,,
KIS66911,USMA_521_v2_16,232996,235263,UMAG_05695,putative eukaryotic peptide chain release factor GTP-binding subunit,Putative,12280,Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF2) (Polypeptide release factor 3) (Translation release factor 3),UMAG_05695,755,cytoplasmic translational termination [GO:0002184]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; translation [GO:0006412],,,,,,,,
KIS66912,USMA_521_v2_16,236162,236818,UMAG_10740,hypothetical protein,Hypothetical,12281,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2 (Oligosaccharyl transferase subunit OST2),UMAG_10740,136,protein N-linked glycosylation [GO:0006487],,,,,,,,,
KIS66913,USMA_521_v2_16,236901,237759,UMAG_10741,hypothetical protein,Hypothetical,12282,Trafficking protein particle complex subunit,UMAG_10741,219,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888],,,,,,,,,
KIS66914,USMA_521_v2_16,238381,240633,UMAG_05698,putative ser/thr protein kinase,Putative,12283,Putative ser/thr protein kinase,UMAG_05698,750,protein phosphorylation [GO:0006468],,,,,,,,,
KIS66915,USMA_521_v2_16,242556,242877,UMAG_10742,hypothetical protein,Hypothetical,12284,DUF1748-domain-containing protein,UMAG_10742,72,,,,,,,,,,
KIS66916,USMA_521_v2_16,245076,246542,UMAG_05700,hypothetical protein,Hypothetical,12285,DUF262 domain-containing protein,UMAG_05700,488,,,,,,,,,,
KIS66917,USMA_521_v2_16,246981,250928,UMAG_15084,hypothetical protein,Hypothetical,12286,Transmembrane alpha-helix domain-containing protein,UMAG_15084,490,,,,,,,,,,
KIS66918,USMA_521_v2_16,252171,253217,UMAG_05702,hypothetical protein,Hypothetical,12287,Fe2OG dioxygenase domain-containing protein,UMAG_05702,348,,,,,,,,,,
KIS66919,USMA_521_v2_16,253576,254673,UMAG_05703,hypothetical protein,Hypothetical,12288,DAO domain-containing protein,UMAG_05703,365,D-amino acid catabolic process [GO:0019478],,,,,,,,,
KIS66920,USMA_521_v2_16,255293,256384,UMAG_05704,hypothetical protein,Hypothetical,12289,Glyco_hydro_cc domain-containing protein,UMAG_05704,363,fungal-type cell wall polysaccharide metabolic process [GO:0071966],,,,,,,,,
KIS66921,USMA_521_v2_16,260571,261392,UMAG_05705,hypothetical protein,Hypothetical,12290,Uncharacterized protein,UMAG_05705,273,,,,,,,,,,
KIS66922,USMA_521_v2_16,264000,269639,UMAG_05706,hypothetical protein,Hypothetical,12291,DUF3818 domain-containing protein,UMAG_05706,1879,,,,,,,,,,
KIS66923,USMA_521_v2_16,273258,273560,UMAG_05707,hypothetical protein,Hypothetical,12292,Uncharacterized protein,UMAG_05707,100,,,,,,,,,,
KIS66924,USMA_521_v2_16,274525,275418,UMAG_05708,hypothetical protein,Hypothetical,12293,Secreted protein,UMAG_05708,297,,,,,,,,,,
KIS66925,USMA_521_v2_16,276115,277326,UMAG_05709,putative GPI-anchor transamidase,Putative,12294,Putative GPI-anchor transamidase,UMAG_05709,403,attachment of GPI anchor to protein [GO:0016255]; protein localization to cell surface [GO:0034394]; proteolysis [GO:0006508],,,,,,,,,
KIS66926,USMA_521_v2_16,278777,279801,UMAG_15022,hypothetical protein,Hypothetical,12295,RNA-binding domain-containing protein,UMAG_15022,263,alternative mRNA splicing, via spliceosome [GO:0000380]; mRNA splicing, via spliceosome [GO:0000398],,,,,,,
KIS66927,USMA_521_v2_16,281841,283982,UMAG_10934,hypothetical protein,Hypothetical,12296,Protein scd2/ral3,UMAG_10934,713,cell morphogenesis [GO:0000902]; conjugation with cellular fusion [GO:0000747]; protein transport [GO:0015031],,,,,,,,,
KIS66928,USMA_521_v2_16,284157,286100,UMAG_10935,hypothetical protein,Hypothetical,12297,MHD domain-containing protein,UMAG_10935,647,endocytosis [GO:0006897]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192],,,,,,,,,
KIS66929,USMA_521_v2_16,286418,286749,UMAG_10936,hypothetical protein,Hypothetical,12298,DNA directed RNA polymerase,UMAG_10936,71,DNA-templated transcription [GO:0006351],,,,,,,,,
KIS66930,USMA_521_v2_16,287998,289755,UMAG_10937,hypothetical protein,Hypothetical,12299,Glycerophosphocholine acyltransferase 1,UMAG_10937,494,phosphatidylcholine biosynthetic process [GO:0006656],,,,,,,,,
KIS66931,USMA_521_v2_16,289954,292752,UMAG_05714,hypothetical protein,Hypothetical,12300,Ribosome biogenesis protein ERB1 (Eukaryotic ribosome biogenesis protein 1),ERB1,UMAG_05714,932,maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463],,,,
KIS66932,USMA_521_v2_16,293232,294836,UMAG_05715,hypothetical protein,Hypothetical,12301,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4),ARP4,UMAG_05715,534,chromatin organization [GO:0006325]; DNA repair [GO:0006281]; histone H4 acetylation [GO:0043967]; regulation of transcription by RNA polymerase II [GO:0006357],,,,,,,,
KIS66933,USMA_521_v2_16,295147,296223,UMAG_10938,putative NADP-dependent mannitol dehydrogenase,Putative,12302,Putative NADP-dependent mannitol dehydrogenase,UMAG_10938,261,,,,,,,,,,
KIS66934,USMA_521_v2_16,298797,299486,UMAG_10939,hypothetical protein,Hypothetical,12303,Concanavalin A-like lectin/glucanase domain-containing protein,UMAG_10939,229,,,,,,,,,,
KIS66935,USMA_521_v2_16,299566,300477,UMAG_10940,hypothetical protein,Hypothetical,12304,Protein ROT1 (Protein rot1),UMAG_10940,209,'de novo' protein folding [GO:0006458],,,,,,,,,
KIS66936,USMA_521_v2_16,301944,303983,UMAG_05718,hypothetical protein,Hypothetical,12305,GH16 domain-containing protein,UMAG_05718,679,(1->6)-beta-D-glucan biosynthetic process [GO:0006078]; fungal-type cell wall organization [GO:0031505],,,,,,,,,
KIS66937,USMA_521_v2_16,304362,306644,UMAG_05719,hypothetical protein,Hypothetical,12306,Fork-head domain-containing protein,UMAG_05719,760,,,,,,,,,,
KIS66938,USMA_521_v2_16,309169,311064,UMAG_05720,hypothetical protein,Hypothetical,12307,FCP1 homology domain-containing protein,UMAG_05720,631,,,,,,,,,,
KIS66939,USMA_521_v2_16,311349,315068,UMAG_05721,hypothetical protein,Hypothetical,12308,BHLH domain-containing protein,UMAG_05721,1239,,,,,,,,,,
KIS66940,USMA_521_v2_16,316807,320304,UMAG_05722,putative 40S ribosome biogenesis GTP-binding protein,Putative,12309,Putative 40S ribosome biogenesis GTP-binding protein,UMAG_05722,1165,endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000480]; endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000479]; endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000472]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of rRNA processing [GO:2000232],
KIS66941,USMA_521_v2_16,321530,323572,UMAG_10941,hypothetical protein,Hypothetical,12310,Zn(2)-C6 fungal-type domain-containing protein,UMAG_10941,680,,,,,,,,,,
KIS66942,USMA_521_v2_16,323709,325098,UMAG_05724,hypothetical protein,Hypothetical,12311,DUF3480 domain-containing protein,UMAG_05724,405,,,,,,,,,,
KIS66943,USMA_521_v2_16,325957,326670,UMAG_05725,putative methylene-fatty-acyl-phospholipid synthase,Putative,12312,Phosphatidyl-N-methylethanolamine N-methyltransferase (EC 2.1.1.71) (Phospholipid methyltransferase) (PLMT),UMAG_05725,237,methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656],,,,,,,,,
KIS66944,USMA_521_v2_16,328701,332373,UMAG_15023,putative protein kinase C,Putative,12313,Protein kinase C (EC 2.7.11.13),UMAG_15023,1157,autophagy of peroxisome [GO:0030242]; cellular bud neck septin ring organization [GO:0032186]; fungal-type cell wall biogenesis [GO:0009272]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]; regulation of fungal-type cell wall organization [GO:0060237]; regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060211]; stress granule assembly [GO:0034063],,,,,,,,,
KIS66945,USMA_521_v2_16,332708,335458,UMAG_10913,hypothetical protein,Hypothetical,12314,Rho-GAP domain-containing protein,UMAG_10913,917,cytoskeleton organization [GO:0007010]; small GTPase mediated signal transduction [GO:0007264],,,,,,,,,
KIS66946,USMA_521_v2_16,336310,338598,UMAG_05726,hypothetical protein,Hypothetical,12315,Non-specific serine/threonine protein kinase (EC 2.7.11.1),UMAG_05726,762,maturation of SSU-rRNA [GO:0030490]; phosphorylation [GO:0016310],,,,,,,,,
KIS66947,USMA_521_v2_16,338874,342578,UMAG_10914,hypothetical protein,Hypothetical,12316,Histone deacetylase (EC 3.5.1.98),UMAG_10914,1132,regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083],,,,,,,,,
KIS66948,USMA_521_v2_16,343475,344461,UMAG_05728,hypothetical protein,Hypothetical,12317,Tat pathway signal sequence domain protein,UMAG_05728,328,,,,,,,,,,
KIS66949,USMA_521_v2_16,344584,345551,UMAG_05729,hypothetical protein,Hypothetical,12318,PQ loop repeat protein,UMAG_05729,298,,,,,,,,,,
KIS66950,USMA_521_v2_16,346951,347823,UMAG_05731,secreted chorismate mutase,Annotated,12319,Secreted chorismate mutase (EC 5.4.99.5),CMU1,UMAG_05731,290,aromatic amino acid family biosynthetic process [GO:0009073]; chorismate metabolic process [GO:0046417]; effector-mediated suppression of host salicylic acid-mediated innate immune signalling [GO:0140502],,,,,,,,
