Strain,Line,Chr9.LA,HaloSize_cm,Date,Gen
T20.LA.4,A,1X,2.8,20210623,200
T20.LA.5,A,1X,3,20210623,200
T20.LB.1,B,2X,2.5,20210623,200
T20.LB.2,B,1X,3,20210623,200
T20.LB.3,B,1X,2.9,20210623,200
T20.LB.4,B,2X,2.9,20210623,200
T20.LB.5,B,1X,2.8,20210623,200
T20.LC.1,C,3X,2.8,20210623,200
T20.LC.2,C,1X,3.1,20210623,200
T20.LC.3,C,3X,2.3,20210623,200
T20.LC.4,C,1X,2.9,20210623,200
T20.LC.5,C,1X,2.9,20210623,200
T20.LA.1,A,3X,2.4,20210623,235
T20.LA.2,A,3X,2.9,20210623,235
T20.LA.3,A,3X,2.8,20210623,235
T20.LA.4,A,1X,2.9,20210623,235
T20.LA.5,A,1X,2.9,20210623,235
T20.LB.1,B,2X,2.6,20210623,235
T20.LB.2,B,1X,2.9,20210623,235
T20.LB.3,B,1X,3,20210623,235
T20.LB.4,B,2X,2.8,20210623,235
T20.LB.5,B,1X,2.9,20210623,235
T20.LC.1,C,3X,2.6,20210623,235
T20.LC.2,C,1X,3,20210623,235
T20.LC.3,C,3X,2.4,20210623,235
T20.LC.4,C,1X,2.9,20210623,235
T20.LC.5,C,1X,3,20210623,235
